acc,genome_url,assembly_report_url,ncbi_tax_name
GCA_000091045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1/GCA_000091045.1_ASM9104v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1/GCA_000091045.1_ASM9104v1_assembly_report.txt,Cryptococcus neoformans var. neoformans JEC21
GCA_000149245.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/245/GCA_000149245.3_CNA3/GCA_000149245.3_CNA3_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/245/GCA_000149245.3_CNA3/GCA_000149245.3_CNA3_assembly_report.txt,Cryptococcus neoformans var. grubii H99
GCA_000780515.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/780/515/GCA_000780515.1_ASM78051v1/GCA_000780515.1_ASM78051v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/780/515/GCA_000780515.1_ASM78051v1/GCA_000780515.1_ASM78051v1_assembly_report.txt,Escherichia coli
GCA_001483345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/345/GCA_001483345.1_ASM148334v1/GCA_001483345.1_ASM148334v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/345/GCA_001483345.1_ASM148334v1/GCA_001483345.1_ASM148334v1_assembly_report.txt,Saccharomyces pastorianus
GCA_001739935.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/739/935/GCA_001739935.1_ASM173993v1/GCA_001739935.1_ASM173993v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/739/935/GCA_001739935.1_ASM173993v1/GCA_001739935.1_ASM173993v1_assembly_report.txt,Saccharomyces cerevisiae
GCA_003270815.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/270/815/GCA_003270815.1_ASM327081v1/GCA_003270815.1_ASM327081v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/270/815/GCA_003270815.1_ASM327081v1/GCA_003270815.1_ASM327081v1_assembly_report.txt,Saccharomyces cerevisiae
GCA_005153965.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/153/965/GCA_005153965.1_ASM515396v1/GCA_005153965.1_ASM515396v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/153/965/GCA_005153965.1_ASM515396v1/GCA_005153965.1_ASM515396v1_assembly_report.txt,Bacillus subtilis
GCA_005154485.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/154/485/GCA_005154485.1_ASM515448v1/GCA_005154485.1_ASM515448v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/154/485/GCA_005154485.1_ASM515448v1/GCA_005154485.1_ASM515448v1_assembly_report.txt,Enterococcus faecalis
GCA_005154665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/154/665/GCA_005154665.1_ASM515466v1/GCA_005154665.1_ASM515466v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/154/665/GCA_005154665.1_ASM515466v1/GCA_005154665.1_ASM515466v1_assembly_report.txt,Listeria monocytogenes
GCA_005341425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/341/425/GCA_005341425.1_ASM534142v1/GCA_005341425.1_ASM534142v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/341/425/GCA_005341425.1_ASM534142v1/GCA_005341425.1_ASM534142v1_assembly_report.txt,Limosilactobacillus fermentum
