acc,genome_url,assembly_report_url,ncbi_tax_name
GCA_000013405.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/405/GCA_000013405.1_ASM1340v1/GCA_000013405.1_ASM1340v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/405/GCA_000013405.1_ASM1340v1/GCA_000013405.1_ASM1340v1_assembly_report.txt,Syntrophus aciditrophicus SB
GCA_000204415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/415/GCA_000204415.1_ASM20441v1/GCA_000204415.1_ASM20441v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/415/GCA_000204415.1_ASM20441v1/GCA_000204415.1_ASM20441v1_assembly_report.txt,Methanothrix soehngenii GP6
GCA_000233775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/775/GCA_000233775.1_ASM23377v1/GCA_000233775.1_ASM23377v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/775/GCA_000233775.1_ASM23377v1/GCA_000233775.1_ASM23377v1_assembly_report.txt,Thermovirga lienii DSM 17291
GCA_000421285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/285/GCA_000421285.1_ASM42128v1/GCA_000421285.1_ASM42128v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/285/GCA_000421285.1_ASM42128v1/GCA_000421285.1_ASM42128v1_assembly_report.txt,Desulfotignum balticum DSM 7044
GCA_000747085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/085/GCA_000747085.1_ASM74708v1/GCA_000747085.1_ASM74708v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/085/GCA_000747085.1_ASM74708v1/GCA_000747085.1_ASM74708v1_assembly_report.txt,Smithella sp. F21
GCA_000802035.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/035/GCA_000802035.2_cluster_c5/GCA_000802035.2_cluster_c5_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/035/GCA_000802035.2_cluster_c5/GCA_000802035.2_cluster_c5_assembly_report.txt,Pseudomonas sp. BICA1-14
GCA_000953115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535/GCA_000953115.1_DSM1535_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535/GCA_000953115.1_DSM1535_assembly_report.txt,Methanobacterium formicicum
GCA_001458655.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9/GCA_001458655.1_Mb9_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9/GCA_001458655.1_Mb9_assembly_report.txt,Methanobacterium formicicum
GCA_001508055.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/055/GCA_001508055.1_ASM150805v1/GCA_001508055.1_ASM150805v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/055/GCA_001508055.1_ASM150805v1/GCA_001508055.1_ASM150805v1_assembly_report.txt,Petrotoga mobilis
GCA_001508255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/255/GCA_001508255.1_ASM150825v1/GCA_001508255.1_ASM150825v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/255/GCA_001508255.1_ASM150825v1/GCA_001508255.1_ASM150825v1_assembly_report.txt,Anaerolinea thermophila
