containment,filename
0.09584943350117758,0.fa
0.056281953863043466,1.fa
0.03289328859784024,2.fa
0.10445183478734055,3.fa
0.03780384518772972,4.fa
0.03115336028950666,5.fa
0.021874926546942564,6.fa
0.02068180723151658,7.fa
0.06302414645704268,8.fa
0.06226952516883377,9.fa
0.059164510747518495,10.fa
0.06554017844406979,11.fa
0.0684114748038589,12.fa
0.047456258726615186,13.fa
0.04872291339297952,14.fa
0.05224272407912611,15.fa
0.0277269364613264,16.fa
0.026116036555236644,17.fa
0.03817960916105856,18.fa
0.028736458597748538,19.fa
0.0040377948285157395,20.fa
0.11197692413492644,21.fa
0.09479918904661089,22.fa
0.034767987209637585,23.fa
0.03485785274727937,24.fa
0.06802161215764368,25.fa
0.01624770965578126,26.fa
0.03681541947166578,27.fa
0.04843703578439995,28.fa
0.04418471941072377,29.fa
0.037425863149464056,30.fa
0.045859500956092814,31.fa
0.031342573961897324,32.fa
0.1303371991690465,33.fa
0.16977262201749532,34.fa
0.05758989164755912,35.fa
0.0436496939500749,36.fa
0.044955807700324146,37.fa
0.08006400320248341,38.fa
0.04715802920143486,39.fa
0.073422230278534,40.fa
0.07381636318356888,41.fa
0.10264639243763862,42.fa
0.23092894671017705,43.fa
0.018174287150124258,44.fa
0.032696864913943635,45.fa
0.031043773062140345,46.fa
0.029321710971450865,47.fa
0.07030650847973885,48.fa
0.042856857848779906,49.fa
0.029047892967630773,50.fa
0.11362950943790384,51.fa
0.1772888535763839,52.fa
0.22817209983518383,53.fa
0.0580424137162554,54.fa
0.033008542873775415,55.fa
0.0617445027058815,56.fa
0.037678265056768856,57.fa
0.011097979526239032,58.fa
0.1435173567631911,59.fa
0.15177991809889424,60.fa
0.04474135043671157,61.fa
0.10025795999874354,62.fa
0.029422143069850026,63.fa
0.0006737367673002037,64.fa
0.0018267212709207614,65.fa
0.007945114668518993,66.fa
0.0008661443031734439,67.fa
