intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2637000,0.004102990188298776,0.9992421371731717,0.004102990188298776,0.0036050531079127647,9.244596131968146,9.0,3.9561128372135985,"GCA_003446605.1 Anaerolineaceae bacterium, ASM344660v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,e2f63072aa4d6cf99627ceae55a5e673,0.9992421371731717,2637000,0,92894000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2534000,0.003942729289779711,0.9988170347003155,0.003941173358726128,0.003815488359884209,10.185945519147257,10.0,4.429177727488755,"GCA_003500195.1 Clostridiales bacterium, ASM350019v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,5e1b5111590a961142e2ab2277288226,0.999211356466877,2533000,1,90361000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2531000,0.003938061496618962,0.9813881349360217,0.003938061496618962,0.028169782651291927,75.2623468984591,73.0,124.31175331286443,"GCA_002503885.1 Methanoculleus marisnigri, ASM250388v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,1f16c607be0bf2f7ccb4d539760b1cf0,0.9813881349360217,2531000,2,87830000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2488000,0.003871156461314886,0.9983948635634029,0.003871156461314886,0.05530572633804952,150.31631832797427,149.0,79.51812281422812,"GCA_003451675.1 Candidatus Atribacteria bacterium, ASM345167v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ca3d342e807c0e574e8473fdb1924dc4,0.9983948635634029,2488000,3,85342000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2453000,0.003816698874439476,0.9983719983719984,0.003816698874439476,0.02165471908076913,59.69547492865878,47.0,63.64998535634479,"GCA_003445665.1 Desulfotomaculum sp., ASM344566v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,85752e9edc8c218c4e79245bab048a36,0.9983719983719984,2453000,4,82889000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2503000,0.0038944954271186334,0.95625,0.0038089192191715603,0.006982368838428464,19.287581699346404,18.0,11.339703055797008,"GCA_001508695.1 Methanomicrobiales archaeon 53_19, ASM150869v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,c38105ca149500a8c4861a70cc201e4f,0.977734375,2448000,5,80441000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2393000,0.0037233430112244867,0.9945720250521921,0.003706227769635072,0.14912761056908466,423.3530646515533,440.0,118.56811550909043,"GCA_001509375.1 Methanosaeta harundinacea, ASM150937v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,37b5cb0766725668b9c0c50b660f6425,0.9991649269311065,2382000,6,78059000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2344000,0.003647102389598912,0.6643990929705216,0.003647102389598912,0.0015054327934429382,4.343003412969283,4.0,2.4832394873479657,"GCA_002305765.1 Deltaproteobacteria bacterium UBA1386, ASM230576v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,a12948742a3b08a54580619a009e2576,0.6643990929705216,2344000,7,75715000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2239000,0.003483729628972681,0.9959910913140312,0.0034790618358119317,0.003933793490999567,11.896690518783542,11.0,4.971526057171711,"GCA_001508275.1 Actinobacteria bacterium 66_15, ASM150827v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,27c28400c9f2d65027029ca663e4676e,0.9973273942093541,2236000,8,73479000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2216000,0.0034479432147402683,0.9959550561797753,0.0034479432147402683,0.002073001659968871,6.325812274368231,6.0,3.525357058618583,"GCA_003454055.1 Bacteroidales bacterium, ASM345405v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ada78ab0c42aaf552aa0567893c24958,0.9959550561797753,2216000,9,71263000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2204000,0.0034292720420972707,0.9986406887177164,0.0034292720420972707,0.02693704318506989,82.64655172413794,89.0,45.84870004407866,"GCA_001508575.1 candidate division TA06 bacterium 34_109, ASM150857v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ec087dc49f3efc23d5f4633a6778f05f,0.9986406887177164,2204000,10,69059000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2180000,0.003391929696811275,0.7153644123440578,0.0033903737657576915,0.002407213655369759,7.470399265718219,5.0,10.069352005846284,"GCA_002896535.1 Mesotoga sp. B105.6.4 strain=B105.6.4, ASM289653v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9536cd8d8fc69870cf39eaae68764866,0.7156927117531189,2179000,11,66880000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2160000,0.0033608110757396116,0.9972235076353541,0.003353031420471696,0.004352445773734043,13.65754060324826,13.0,6.555253820567414,"GCA_001509005.1 Methanobacterium sp. 42_16, ASM150900v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,06643b6623eab6443a2e329d2e26895c,0.999537251272559,2155000,12,64725000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2086000,0.0032456721777744586,0.9971305595408895,0.0032441162467208755,0.0114751540739481,37.2167865707434,37.0,11.449524561983136,"GCA_003512065.1 Candidatus Marinimicrobia bacterium, ASM351206v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,510bf06f2e06e54b332d5e33b14fe1fa,0.9976087996174079,2085000,13,62640000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2037000,0.003169431556148884,0.6894497020679986,0.003060516382398063,0.006884027698188823,23.66598881545501,24.0,18.509118579517022,"GCA_002435945.1 Mesotoga sp. UBA6090, ASM243594v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,3aff1b62fae04cb3f8270b7048edc48e,0.7139852786540484,1967000,14,60673000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2151000,0.0033468076962573636,0.9078276980083372,0.003049624865022981,0.007232140546495765,24.9515306122449,21.0,51.05826201611455,"GCA_003513845.1 Candidatus Atribacteria bacterium, ASM351384v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,891ce795bc9a1a171d7abc396f664ff2,0.9962945808244558,1960000,15,58713000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
2044000,0.003180323073523966,0.951171875,0.003030953692379983,0.0888113661654719,308.2946611909651,306.0,115.44896928723443,"GCA_003485325.1 Desulfotomaculum sp., ASM348532v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,c788c1d8e6f8228bf6ef3b9e467a64f2,0.998046875,1948000,16,56765000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1850000,0.0028784724491288344,0.7309363887791387,0.0028784724491288344,0.0008454380432331314,3.0902702702702705,3.0,1.9746946209155734,"GCA_011620455.1 Syntrophaceae bacterium, ASM1162045v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9e21fd575f94ba4602b0270169547324,0.7309363887791387,1850000,17,54915000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1716000,0.0026699776879486915,0.9976717112922002,0.0026668658258415254,0.003950504090769612,15.585764294049008,16.0,7.399103222679666,"GCA_001508395.1 Synergistales bacterium 53_16, ASM150839v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,31e5af2587f2b34cc8113b7fc07c0aa5,0.9988358556461001,1714000,18,53201000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1704000,0.002651306515305694,0.9894366197183099,0.002623299756341197,0.0021537449119551034,8.638196915776987,8.0,4.849043889482308,"GCA_001508485.1 Proteiniphilum acetatigenes, ASM150848v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b1aabcc834bb6a8b29a8ab7c15baa3f0,1.0,1686000,19,51515000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1727000,0.0026870929295381065,0.8403660396542959,0.002571954031572953,0.012413461645106788,50.7816091954023,56.0,28.195091678316338,"GCA_002452835.1 Candidatus Atribacteria bacterium UBA6794, ASM245283v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b9d957013a6cb02cdc9820fdf599d7d1,0.8779867819013727,1653000,20,49862000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1628000,0.0025330557552333743,0.8647781934794228,0.0025174964446975424,0.004064816423709827,16.98825710754017,17.0,10.515594896290674,"GCA_003445515.1 Anaerolineaceae bacterium, ASM344551v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,34eac98eaece46ecdf98bfa37296074e,0.8701229289150187,1618000,21,48244000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1572000,0.0024459236162327177,0.9980928162746344,0.002442811754125551,0.003431292446587082,14.778980891719746,14.0,7.383071805142467,"GCA_003445715.1 Anaerolineaceae bacterium, ASM344571v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,467c2983a41a8a07a0f6ae3676741d1c,0.9993642720915448,1570000,22,46674000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1581000,0.002459926995714966,0.9766118836915297,0.0024039134777859724,0.0014113802142062281,6.177346278317152,6.0,3.1451824896238234,"GCA_001509385.1 Petrotoga mobilis, ASM150938v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,3600482e8b3952fa9edb9d55b3395712,0.9993678887484198,1545000,23,45129000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1359000,0.0021145103018195056,0.9977941176470588,0.0021113984397123395,0.012887125813809906,64.21886514369933,65.0,23.056145579216466,"GCA_001509095.1 Synergistales bacterium 58_81, ASM150909v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,bd8db87ee766b01a1141b4d3b2522a44,0.9992647058823529,1357000,24,43772000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1310000,0.0020382696801939312,0.4196028187059577,0.0020382696801939312,0.00040830058376188134,2.1076335877862595,2.0,1.3330283677029788,"GCA_000013405.1 Syntrophus aciditrophicus SB strain=SB, ASM1340v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,d932d5840deba8110fe65235866271f4,0.4196028187059577,1310000,25,42462000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1311000,0.0020398256112475143,0.6513853904282116,0.0020118188522830175,0.0005508582667558884,2.8808971384377418,2.0,5.084868151086725,"GCA_002383685.1 Synergistaceae bacterium UBA4066, ASM238368v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,4995b6087a2a9c2b6c59d4491d2ad040,0.6604534005037783,1293000,26,41169000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1511000,0.0023510118219641453,0.6520501138952164,0.001781541056352711,0.0009609334274845001,5.675109170305677,4.0,4.5770588572621245,"GCA_011620695.1 Proteiniphilum sp., ASM1162069v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b6b00a19eb9c1dce167f868f41b37d1a,0.8604783599088838,1145000,27,40024000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1187000,0.0018468901606032034,0.7177677998717127,0.001741086848959549,0.006817481061936433,41.19839142091153,40.0,43.04898759010619,"GCA_002497965.1 Methanomicrobiaceae archaeon UBA436, ASM249796v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,3ea4aa33bada8707654b6363c10861e7,0.7613855035279025,1119000,28,38905000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
1070000,0.0016648462273339743,0.9971988795518207,0.001661734365226808,0.0015267277170437027,9.666666666666666,8.0,7.221439504306399,"GCA_001509035.1 candidate division WS6 bacterium 34_10, ASM150903v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,04fe6ee0bd783ea5232fd34312fb86ff,0.9990662931839402,1068000,29,37837000,outputs.paper/abundtrim/SRR1976948.abundtrim.fq.gz,SRR1976948,2011e1ae,642702000
