intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
9323000,0.045443910428263644,0.9772536687631027,0.045443910428263644,0.045443910428263644,,,,"GCA_000013645.1 Paraburkholderia xenovorans LB400 strain=LB400, ASM1364v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ee9cb05018009af43429e83e7d502a0a,0.9772536687631027,9323000,0,195831000,,SRR606249-known,42df24f0,205154000,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia xenovorans;Paraburkholderia xenovorans LB400
7288000,0.03552453279000166,0.9990404386566141,0.03552453279000166,0.03552453279000166,,,,"GCA_000009705.1 Nostoc sp. PCC 7120 = FACHB-418, ASM970v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,264cfdad44548ad96c4a24b6a514a877,0.9990404386566141,7288000,1,188543000,,SRR606249-known,42df24f0,205154000,Bacteria;Cyanobacteria;unassigned;Nostocales;Nostocaceae;Nostoc;Nostoc sp. PCC 7120 = FACHB-418
7039000,0.03431081041559024,0.9998579545454546,0.03431081041559024,0.03431081041559024,,,,"GCA_000196115.1 Rhodopirellula baltica SH 1 strain=1, ASM19611v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,7141c3fbf206734950d13cadba0bf46c,0.9998579545454546,7039000,2,181504000,,SRR606249-known,42df24f0,205154000,Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica;Rhodopirellula baltica SH 1
6604000,0.03219045205065463,0.9996972449288526,0.03219045205065463,0.03219045205065463,,,,"GCA_000018565.1 Herpetosiphon aurantiacus DSM 785, ASM1856v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,5165e0f27ae96c8a78da00c2d30a8e36,0.9996972449288526,6604000,3,174900000,,SRR606249-known,42df24f0,205154000,Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon;Herpetosiphon aurantiacus;Herpetosiphon aurantiacus DSM 785
6323000,0.030820749290776685,0.9979482323232324,0.030820749290776685,0.030820749290776685,,,,"GCA_002959695.1 Bacteroides thetaiotaomicron strain=VPI-5482, ASM295969v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,cefca2cf1f2ffaacdd22d23b45bfb6cb,0.9979482323232324,6323000,4,168577000,,SRR606249-known,42df24f0,205154000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
5639000,0.027486668551429658,0.9936552696510398,0.02748179416438383,0.02748179416438383,,,,"GCA_000018265.1 Salinispora arenicola CNS-205 strain=CNS-205, ASM1826v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,5519d11c0ae28e167759d1c2b2e1b353,0.9938315121607332,5638000,5,162939000,,SRR606249-known,42df24f0,205154000,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora arenicola;Salinispora arenicola CNS-205
5422000,0.02642892656248477,0.9998156002212797,0.02642892656248477,0.02642892656248477,,,,"GCA_000007345.1 Methanosarcina acetivorans C2A strain=C2A, ASM734v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,56bdd31d168788f6b31dcd0751089a62,0.9998156002212797,5422000,6,157517000,,SRR606249-known,42df24f0,205154000,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina acetivorans;Methanosarcina acetivorans C2A
5188000,0.025288319993760786,0.9904543718976708,0.025288319993760786,0.025288319993760786,,,,"GCA_000021665.1 Shewanella baltica OS223 strain=OS223, ASM2166v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,38729c6374925585db28916b82a6f513,0.9904543718976708,5188000,7,152329000,,SRR606249-known,42df24f0,205154000,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella baltica;Shewanella baltica OS223
5174000,0.025220078575119178,0.9741704374057315,0.025185957865798376,0.025185957865798376,,,,"GCA_000195675.1 Bordetella bronchiseptica RB50 strain=RB50, ASM19567v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,4d260a2e768d27ef2e2ec65bc61f4a57,0.9754901960784313,5167000,8,147162000,,SRR606249-known,42df24f0,205154000,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella bronchiseptica;Bordetella bronchiseptica RB50
5054000,0.0246351521296197,0.997827804107425,0.024630277742573873,0.024630277742573873,,,,"GCA_000022185.1 Chloroflexus aurantiacus Y-400-fl strain=Y-400-fl, ASM2218v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9cb83c551a9bfbc4e3e7f0bdb0e62a31,0.9980252764612955,5053000,9,142109000,,SRR606249-known,42df24f0,205154000,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus;Chloroflexus aurantiacus Y-400-fl
