intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
2637000,0.02760360511247658,0.9992421371731717,0.02760360511247658,0.02760360511247658,,,,"GCA_003446605.1 Anaerolineaceae bacterium, ASM344660v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,e2f63072aa4d6cf99627ceae55a5e673,0.9992421371731717,2637000,0,92894000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unassigned;Anaerolineaceae bacterium
2534000,0.026525421067506882,0.9988170347003155,0.02651495326124504,0.02651495326124504,,,,"GCA_003500195.1 Clostridiales bacterium, ASM350019v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,5e1b5111590a961142e2ab2277288226,0.999211356466877,2533000,1,90361000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;unassigned;unassigned;Clostridiales bacterium
2531000,0.026494017648721356,0.9813881349360217,0.026494017648721356,0.026494017648721356,,,,"GCA_002503885.1 Methanoculleus marisnigri, ASM250388v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,1f16c607be0bf2f7ccb4d539760b1cf0,0.9813881349360217,2531000,2,87830000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus marisnigri
2488000,0.026043901979462165,0.9983948635634029,0.026043901979462165,0.026043901979462165,,,,"GCA_003451675.1 Candidatus Atribacteria bacterium, ASM345167v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ca3d342e807c0e574e8473fdb1924dc4,0.9983948635634029,2488000,3,85342000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Atribacteria;unassigned;unassigned;unassigned;unassigned;Candidatus Atribacteria bacterium
2453000,0.025677528760297705,0.9983719983719984,0.025677528760297705,0.025677528760297705,,,,"GCA_003445665.1 Desulfotomaculum sp., ASM344566v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,85752e9edc8c218c4e79245bab048a36,0.9983719983719984,2453000,4,82889000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;Desulfotomaculum sp.
2503000,0.02620091907338979,0.95625,0.025625189728988494,0.025625189728988494,,,,"GCA_001508695.1 Methanomicrobiales archaeon 53_19, ASM150869v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,c38105ca149500a8c4861a70cc201e4f,0.977734375,2448000,5,80441000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;unassigned;unassigned;Methanomicrobiales archaeon 53_19
2393000,0.0250494603845872,0.9945720250521921,0.024934314515706945,0.024934314515706945,,,,"GCA_001509375.1 Methanosaeta harundinacea, ASM150937v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,37b5cb0766725668b9c0c50b660f6425,0.9991649269311065,2382000,6,78059000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanosaeta harundinacea
2344000,0.024536537877756958,0.6643990929705216,0.024536537877756958,0.024536537877756958,,,,"GCA_002305765.1 Deltaproteobacteria bacterium UBA1386, ASM230576v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,a12948742a3b08a54580619a009e2576,0.6643990929705216,2344000,7,75715000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Proteobacteria;Deltaproteobacteria;unassigned;unassigned;unassigned;Deltaproteobacteria bacterium UBA1386
2239000,0.02343741822026358,0.9959910913140312,0.023406014801478053,0.023406014801478053,,,,"GCA_001508275.1 Actinobacteria bacterium 66_15, ASM150827v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,27c28400c9f2d65027029ca663e4676e,0.9973273942093541,2236000,8,73479000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Actinobacteria;Actinobacteria;unassigned;unassigned;unassigned;Actinobacteria bacterium 66_15
2216000,0.02319665867624122,0.9959550561797753,0.02319665867624122,0.02319665867624122,,,,"GCA_003454055.1 Bacteroidales bacterium, ASM345405v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ada78ab0c42aaf552aa0567893c24958,0.9959550561797753,2216000,9,71263000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unassigned;unassigned;Bacteroidales bacterium
2204000,0.02307104500109912,0.9986406887177164,0.02307104500109912,0.02307104500109912,,,,"GCA_001508575.1 candidate division TA06 bacterium 34_109, ASM150857v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ec087dc49f3efc23d5f4633a6778f05f,0.9986406887177164,2204000,10,69059000,,SRR1976948-known,47bcb52a,95531000,Bacteria;unassigned;unassigned;unassigned;unassigned;unassigned;candidate division TA06 bacterium 34_109
2180000,0.02281981765081492,0.7153644123440578,0.022809349844553076,0.022809349844553076,,,,"GCA_002896535.1 Mesotoga sp. B105.6.4 strain=B105.6.4, ASM289653v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9536cd8d8fc69870cf39eaae68764866,0.7156927117531189,2179000,11,66880000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga sp. B105.6.4
2160000,0.022610461525578083,0.9972235076353541,0.022558122494268876,0.022558122494268876,,,,"GCA_001509005.1 Methanobacterium sp. 42_16, ASM150900v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,06643b6623eab6443a2e329d2e26895c,0.999537251272559,2155000,12,64725000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp. 42_16
2086000,0.021835843862201797,0.9971305595408895,0.021825376055939958,0.021825376055939958,,,,"GCA_003512065.1 Candidatus Marinimicrobia bacterium, ASM351206v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,510bf06f2e06e54b332d5e33b14fe1fa,0.9976087996174079,2085000,13,62640000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Marinimicrobia;unassigned;unassigned;unassigned;unassigned;Candidatus Marinimicrobia bacterium
