ident,display_name
GCA_000006985.1,Chlorobaculum tepidum TLS
GCA_000007185.1,Methanopyrus kandleri AV19
GCA_000007225.1,Pyrobaculum aerophilum str. IM2
GCA_000007305.1,Pyrococcus furiosus DSM 3638
GCA_000007345.1,Methanosarcina acetivorans C2A
GCA_000007985.2,Geobacter sulfurreducens PCA
GCA_000008085.1,Nanoarchaeum equitans Kin4-M
GCA_000008185.1,Treponema denticola ATCC 35405
GCA_000008665.1,Archaeoglobus fulgidus DSM 4304
GCA_000009145.1,Nitrosomonas europaea ATCC 19718
GCA_000009705.1,Nostoc sp. PCC 7120 = FACHB-418
GCA_000010305.1,Gemmatimonas aurantiaca T-27
GCA_000011105.1,Pyrococcus horikoshii OT3
GCA_000011205.1,Sulfurisphaera tokodaii str. 7
GCA_000011585.1,Methanococcus maripaludis S2
GCA_000011965.2,Ruegeria pomeroyi DSS-3
GCA_000012825.1,Phocaeicola vulgatus ATCC 8482
GCA_000013645.1,Paraburkholderia xenovorans LB400
GCA_000015125.1,Chlorobium phaeobacteroides DSM 266
GCA_000015485.1,Desulfovibrio vulgaris DP4
GCA_000015805.1,Pyrobaculum calidifontis JCM 11548
GCA_000015865.1,Acetivibrio thermocellus ATCC 27405
GCA_000016085.1,Chlorobium phaeovibrioides DSM 265
GCA_000016125.1,Methanococcus maripaludis C5
GCA_000016385.1,Pyrobaculum arsenaticum DSM 13514
GCA_000016425.1,Salinispora tropica CNB-440
GCA_000016545.1,Caldicellulosiruptor saccharolyticus DSM 8903
GCA_000016785.1,Thermotoga petrophila RKU-1
GCA_000017325.1,Shewanella baltica OS185
GCA_000017945.1,Ignicoccus hospitalis KIN4/I
GCA_000018265.1,Salinispora arenicola CNS-205
GCA_000018565.1,Herpetosiphon aurantiacus DSM 785
GCA_000018945.1,Thermotoga neapolitana DSM 4359
GCA_000019085.1,Thermoanaerobacter pseudethanolicus ATCC 33223
GCA_000019625.1,Thermotoga sp. RQ2
GCA_000019785.1,Leptothrix cholodnii SP-6
GCA_000020225.1,Akkermansia muciniphila ATCC BAA-835
GCA_000020325.1,Sulfurihydrogenibium sp. YO3AOP1
GCA_000020465.1,Chlorobium limicola DSM 245
GCA_000020645.1,Pelodictyon phaeoclathratiforme BU-1
GCA_000020785.1,Hydrogenobaculum sp. Y04AAS1
GCA_000021565.1,Persephonella marina EX-H1
GCA_000021645.1,Dictyoglomus turgidum DSM 6724
GCA_000021665.1,Shewanella baltica OS223
GCA_000022185.1,Chloroflexus aurantiacus Y-400-fl
GCA_000022325.1,Caldicellulosiruptor bescii DSM 6725
GCA_000022565.1,Acidobacterium capsulatum ATCC 51196
GCA_000025665.1,Aciduliprofundum boonei T469
GCA_000025685.1,Haloferax volcanii DS2
GCA_000091665.1,Methanocaldococcus jannaschii DSM 2661
GCA_000152605.1,Sulfitobacter sp. EE-36
GCA_000152645.1,Sulfitobacter sp. NAS-14.1
GCA_000156375.1,Desulfovibrio piger ATCC 29098
GCA_000172575.2,Enterococcus faecalis OG1RF
GCA_000173615.1,Sulfurihydrogenibium yellowstonense SS-5
GCA_000195675.1,Bordetella bronchiseptica RB50
GCA_000196115.1,Rhodopirellula baltica SH 1
GCA_000507765.1,Streptococcus parasanguinis CC87K
GCA_001314265.1,Porphyromonas gingivalis 381
GCA_001638825.1,Deinococcus radiodurans R1
GCA_002799245.1,Stenotrophomonas maltophilia
GCA_002959695.1,Bacteroides thetaiotaomicron
GCA_003054575.1,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
GCA_003228185.1,Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture
GCA_003450455.1,Thermus sp.
GCA_003470855.1,Streptococcus parasanguinis
GCA_003513425.1,Desulfovibrio sp.
GCA_003514505.1,Proteiniclasticum sp.
GCA_009717815.1,Streptococcus parasanguinis
GCA_013135395.1,Escherichia coli
GCA_013137915.1,Fusobacterium nucleatum
GCA_900115135.1,Proteiniclasticum ruminis
GCA_900637325.1,Wolinella succinogenes
